"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"1678","Citrus Circuits","1","58.1","1949","2028","18.3","32.6","7.2","0.88","0.68","N/A","N/A","N/A","56-12-1","0.819"
"1323","MadTown Robotics","2","55.8","1923","2000","19.5","28.6","7.7","0.66","0.84","N/A","N/A","N/A","45-7-1","0.858"
"3005","RoboChargers","3","54.9","1912","1989","15.9","34.7","4.2","0.71","0.36","N/A","N/A","N/A","59-10-0","0.855"
"6328","Mechanical Advantage","4","54.3","1906","1981","16.7","31.1","6.4","0.71","0.61","N/A","N/A","N/A","57-12-0","0.826"
"2056","OP Robotics","5","53.7","1899","1975","16.7","33.2","3.8","0.77","0.59","N/A","N/A","N/A","67-3-0","0.957"
"1690","Orbit","6","53.6","1898","1973","17","31.3","5.3","0.73","0.49","N/A","N/A","N/A","66-5-1","0.924"
"1796","RoboTigers","7","53","1891","1966","18.6","28.2","6.2","0.72","0.46","N/A","N/A","N/A","49-9-0","0.845"
"1771","North Gwinnett Robotics","8","52.7","1887","1962","19.9","27.2","5.6","0.67","0.51","N/A","N/A","N/A","58-7-0","0.892"
"254","The Cheesy Poofs","9","51.7","1876","1950","15.9","29.5","6.3","0.62","0.61","N/A","N/A","N/A","45-5-1","0.892"
"1756","Argos","10","51.7","1876","1950","12.2","33.4","6.1","0.51","0.55","N/A","N/A","N/A","35-11-1","0.755"
"1706","Ratchet Rockers","11","51.3","1871","1945","17","28.1","6.2","0.72","0.39","N/A","N/A","N/A","44-4-0","0.917"
"604","Quixilver","12","50.9","1867","1941","16.6","28.6","5.8","0.77","0.54","N/A","N/A","N/A","58-10-1","0.848"
"2910","Jack in the Bot","13","50.3","1859","1932","13","34.7","2.6","0.49","0.01","N/A","N/A","N/A","50-16-1","0.754"
"4414","HighTide","14","49.5","1851","1923","18.1","25.6","5.9","0.66","0.44","N/A","N/A","N/A","47-10-0","0.825"
"5940","BREAD","15","49.2","1848","1920","15.7","26.9","6.7","0.6","0.47","N/A","N/A","N/A","47-13-0","0.783"
"4613","Barker Redbacks","16","48.4","1838","1909","13.2","33","2.1","0.8","0.35","N/A","N/A","N/A","44-4-1","0.908"
"3478","PrepaTec - LamBot","17","48","1833","1905","14.2","27.7","6.1","0.57","0.56","N/A","N/A","N/A","49-11-1","0.811"
"3467","Windham Windup","18","47.6","1829","1900","11.9","32.5","3.3","0.73","0.21","N/A","N/A","N/A","59-22-1","0.726"
"9483","İstanbul Wildcats","19","47.6","1829","1900","15.9","30.2","1.6","0.67","0.21","N/A","N/A","N/A","37-9-0","0.804"
"359","Hawaiian Kids","20","47.6","1829","1900","15.3","25.8","6.5","0.71","0.48","N/A","N/A","N/A","68-10-1","0.867"
"368","Team Kika Mana","21","47.2","1824","1895","16.9","23.5","6.8","0.6","0.36","N/A","N/A","N/A","40-5-0","0.889"
