Team Number,Team Name,2024 EPA,2023 EPA,2022 EPA,Weighted EPA
1,The Juggernauts,1566,1546,1563,1559.4
4,Team 4 ELEMENT,1557,1544,1554,1552.5
8,Paly Robotics,1569,1582,1650,1589.1
11,MORT,1568,1670,1584,1601.8
16,Bomb Squad,1694,1687,1738,1700.6999999999998
20,The Rocketeers,1546,1649,1643,1596.3000000000002
21,ComBBAT,1510,1529,1489,1511.5
25,Raider Robotix,1503,1654,1595,1566.7
27,Team RUSH,1791,1631,1914,1767.6
28,Pierson Whalers,1468,1428,1492,1460.8000000000002
31,Prime Movers,1577,1484,1509,1535.5
33,Killer Bees,1787,1733,1764,1766.2
34,Rockets,1391,1453,1457,1422.8000000000002
41,RoboWarriors,1501,1437,1721,1525.8
45,TechnoKats Robotics Team,1586,1566,1569,1576.6
48,Team E.L.I.T.E.,1611,1645,1597,1618.4
51,Wings of Fire,1613,1752,1699,1671.8999999999999
56,R.O.B.B.E.,1575,1499,1554,1548.0
58,The Riot Crew,1601,1574,1637,1600.1000000000001
59,RamTech,1692,1696,1654,1685.6
60,Kingman FIRST Robotics Team...,1546,1557,1556,1551.3
61,The Intimidators,1512,1555,1580,1538.5
63,McDowell Robotics Team 63,,1548,1546,1547.2
66,Grizzly Robotics,1510,1534,1471,1509.4
67,The HOT Team,1690,1777,1886,1755.3
68,Truck Town Thunder,1601,1548,1523,1569.5
69,HYPER,1536,1469,1601,1528.9
70,More Martians,1612,1710,1711,1661.2
71,Team Hammond,1477,1595,1449,1506.8
74,Team CHAOS,1575,1599,1628,1592.8000000000002
75,RoboRaiders,1557,1543,1566,1554.6000000000001
78,AIR STRIKE,1709,1657,1615,1674.6
79,Team 79 Krunch,1453,1449,1405,1442.2
85,B.O.B. (Built on Brains),1652,1636,1637,1644.2
86,Team Resistance,1567,1577,1594,1575.3999999999999
87,Diablo,1432,1495,,1455.625
88,TJ²,1731,1730,1733,1731.1
93,NEW Apple Corps,1600,1568,1569,1584.2
94,The  TechnoJays,1462,1456,1467,1461.2
95,Grasshoppers,1554,1718,1749,1642.2
97,Bionic Beef,1397,1483,1423,1428.0
100,The Wildhats,1607,1571,1501,1575.0
101,Striker,,,1389,1389.0
102,The Gearheads,1530,1573,1547,1546.3000000000002
103,Cybersonics,1765,1742,1640,1733.1
107,Team R.O.B.O.T.I.C.S.,1573,1603,1648,1597.0
108,SigmaC@T Robotics Team,1634,1588,1561,1605.6000000000001
111,WildStang,1721,1826,1827,1773.7
112,Plus One,1559,1594,1587,1575.1000000000001
114,Eaglestrike,1790,1685,1637,1727.9
115,MVRT,1617,1654,1519,1608.5
116,Epsilon Delta,1513,1557,1561,1535.8
117,Steel Dragons Robotics,1509,1563,1489,1521.2
118,Robonauts,1752,1797,1807,1776.5
120,Youth Tech Academy Red Dragons,1533,1605,1570,1562.0
121,Rhode Warriors,,,1547,1547.0
122,NASA Knights,1608,1566,1577,1589.2
123,Team - Cosmos,1558,1590,1476,1551.2
125,NUTRONs,1798,1795,1801,1797.7
126,Gael Force,1565,1528,1628,1566.5
128,The Botcats,1502,1500,1513,1503.6
131,CHAOS,1760,1592,1704,1698.3999999999999
133,B.E.R.T.,1765,1806,1775,1779.3
135,Penn Robotics Black Knights,1586,1602,1570,1587.6
138,Entropy,1541,1631,1576,1575.0
141,WOBOT,1528,1529,1540,1530.7
144,Operation Orange,1602,1566,1602,1591.2
145,T-Rx,,,1452,1452.0
148,Robowranglers,1687,1784,1837,1746.1
151,Tough Techs,1554,1460,1497,1514.4
155,The TechnoNuts,1541,1538,1571,1546.1000000000001
156,RPM  - Robotics Plus Mayhem,,,1518,1518.0
157,AZTECHS,1570,1534,1527,1550.6000000000001
159,Alpine Robotics,1444,1488,1515,1471.4
166,Chop Shop,1645,1640,1604,1635.3
167,Children of the Corn,1517,1587,1552,1545.0
171,Cheese Curd Herd,1521,1560,1491,1526.7
172,Northern Force,1579,1578,1624,1587.7
173,RAGE Robotics ⚙️,1575,1476,1506,1531.5
175,Buzz Robotics,1594,1539,1564,1571.5
176,Aces High,1753,1803,1842,1785.8000000000002
177,Bobcat Robotics,1680,1707,1679,1687.8999999999999
178,The 2nd Law Enforcers,1517,1505,1475,1505.0
179,Children of the Swamp,1682,1684,1807,1707.6000000000001
180,S.P.A.M.,1770,1702,1796,1754.8
181,Birds Of Prey,1465,1424,1463,1452.3000000000002
188,Blizzard,1555,1482,,1527.625
190,Gompei and the H.E.R.D.,1582,1531,1487,1547.7
191,X-CATS,1545,1500,1519,1526.3
192,GRT,1515,1542,1463,1512.6999999999998
193,MORT Beta,1500,1542,1547,1522.0
195,CyberKnights,1689,1778,1679,1713.7
199,Deep Blue,1462,1512,1501,1484.8
201,The FEDS,1550,1553,1655,1571.9
203,SOUPERBOTS,1487,1611,1576,1542.0
204,Eastern Robotic Vikings,1486,1462,1434,1468.3999999999999
207,METALCRAFTERS,,1450,,1450.0
216,More RoboDawgs,1640,1527,1513,1580.6999999999998
217,ThunderChickens,1485,1583,1474,1512.2
219,Team Impact 219,1594,1488,1539,1551.2
222,Tigertrons,1593,1589,1587,1590.6000000000001
223,Xtreme Heat,1567,1546,1572,1561.7
226,Hammerheads,1600,1621,1636,1613.5
228,GUS,1546,1498,1614,1545.2
229,Division By Zero,1416,1419,1412,1416.1000000000001
230,Gaelhawks,1582,1747,1756,1666.3
231,High Voltage,1624,1576,1631,1611.0
233,The Pink Team,1532,1582,1577,1556.0
234,Cyber Blue,1606,1610,1579,1601.8
236,Techno-Ticks,1615,1541,1631,1596.0
237,Black Magic Robotics,1501,1562,1612,1541.5
238,Crusaders,1519,1614,1751,1593.9
240,TEMPEST,1461,1453,1530,1472.4
244,RoboDawgs 3D,1588,1524,1493,1549.8000000000002
245,Adambots,1651,1705,1601,1657.2
246,Lobstah Bots,1556,1584,1475,1548.2
247,Da Bears,1559,1456,1513,1518.9
250,The Dynamos,1438,1590,1451,1486.2
253,Boba Bots,1514,1484,1480,1498.2
254,The Cheesy Poofs,1876,1887,1940,1892.1
263,Aftershock,1522,1517,1577,1531.5
271,Mechanical Marauders,1497,1504,1417,1483.1000000000001
272,Cyber Crusaders,1594,1646,1609,1612.6
280,TnT,1512,1464,1422,1479.6000000000001
281,The GreenVillains,1562,1645,1470,1568.5
287,Floyd Robotics,1558,1530,1555,1549.0
288,The RoboDawgs,1553,1511,1616,1553.0
291,CIA - Creativity In Action,1492,1474,1495,1487.2
292,PantherTech,1642,1640,1662,1645.4
293,SPIKE,1537,1566,1520,1542.3
294,Beach Cities Robotics,1589,1613,1610,1600.4
296,Northern Knights,1471,1452,1460,1463.1
299,Valkyrie Robotics,,1417,1496,1448.6
302,The Dragons,1611,1729,1723,1668.7999999999997
303,The T.E.S.T. Team,1372,1460,1420,1408.0
308,Monsters,1492,1550,1557,1522.4
313,The Bionic Zebras,,1410,1492,1442.8000000000002
314,The Megatron Oracles,1578,1573,1525,1565.9
316,LUNATECS,1672,1706,1736,1695.0
319,Big Bad Bob,1574,1720,1624,1627.8
321,RoboLancers,1525,1606,1521,1548.5
322,Team Knight Riders,,1454,1476,1462.8
323,Lights Out,1533,,,1533.0
324,Chips,1583,1645,1614,1607.8
325,Respawn Robotics,1667,1674,1601,1655.9
328,Penn Robotics Golden Rooks,1461,1528,,1486.125
329,Mohawks,1580,1592,1611,1589.8
333,MEGALODONS,1518,1613,1531,1549.1000000000001
334,TechKnights,1523,1441,1430,1479.8
335,Skillz Tech Gear Botz,1384,1378,1368,1379.0
339,Kilroy Robotics,1486,1466,,1478.5
340,G.R.R. (Greater Rochester R...,1593,1597,1699,1615.3999999999999
341,Miss Daisy,1671,1741,1665,1690.8
342,Burning Magnetos,1507,1571,1494,1523.6
343,Metal-In-Motion,1678,1644,1608,1653.8000000000002
346,RoboHawks,1586,1599,1508,1574.3000000000002
348,Norwell Robotics,1477,1450,1507,1474.9
353,POBots,1743,1576,1472,1638.7
354,G-House Pirates,1465,1501,1494,1481.6
358,Robotic Eagles,1521,1497,1512,1512.0
359,Hawaiian Kids,1829,1724,1683,1768.2999999999997
360,The Revolution,1697,1630,1637,1664.9
364,Team Fusion 364,1529,1550,1783,1586.1
365,Miracle Workerz,1591,1576,1652,1598.7
368,Team Kika Mana,1824,1628,1592,1718.8000000000002
369,High Voltage Robotics,1478,1596,1477,1513.2
378,The Circuit Stompers,1495,1539,1518,1512.8000000000002
379,The RoboCats,1624,1582,1573,1601.1999999999998
384,SPARKY 384,,1717,1607,1673.0
386,Team Voltage,1578,1572,1592,1579.0
395,2 Train Robotics,1375,,1495,1409.2857142857142
399,Eagle Robotics,1602,1541,1508,1564.9
401,Copperhead Robotics,1568,1689,1613,1613.3000000000002
404,⚒️   404 ART  ⚒️,1434,1479,,1450.875
418,Purple Haze,1564,1533,1538,1549.5
422,The Mech Tech Dragons,1648,1686,1622,1654.2
423,Simple Machines FRC 423,1464,1446,1454,1456.6
424,Rust Belt Robotics,1607,1558,,1588.625
426,Zombie Apocalypse Counter T...,,1378,1448,1406.0
427,LANCE-A-LOT,1605,,,1605.0
428,RRIT,1464,,,1464.0
