Event Code,Top2,Top4,Top8,Top24
2025alhu,1711.1999999999998,1655.8000000000002,1591.2,1498.5
2025arli,1763.5,1707.6000000000001,1638.2,1403.5
2025ausc,1603.6000000000001,1585.8999999999999,1536.8,1430.0
2025azfg,1619.7,1598.0,1551.3,1482.1
2025azgl,1626.1000000000001,1590.7,1535.1,1455.5
2025bcvi,1740.6999999999998,1655.5,1594.5,1464.8000000000002
2025brba,1561.9,1545.0,1534.0,1485.0
2025brsp,1561.9,1545.0,1521.0,1441.875
2025caav,1714.8,1685.1,1594.5,1495.7
2025cabe,1710.0,1659.2,1596.8000000000002,1496.6999999999998
2025cada,1892.1,1670.8,1594.5,1484.0
2025cafr,1713.9,1644.0,1594.5,1490.8000000000002
2025cala,1659.8,1648.2,1600.4,1485.0
2025camb,1808.5,1698.5,1608.5,1484.0
2025caoc,1714.2,1710.0,1676.0,1519.0
2025caph,1727.9,1650.3999999999999,1620.7,1516.8000000000002
2025capt,1936.6999999999998,1759.2,1620.7,1512.6
2025casd,1686.3000000000002,1679.0,1611.0,1515.0
2025casf,1740.6999999999998,1710.0,1596.2,1491.3
2025casj,1847.3,1627.6,1575.0,1484.4
2025cave,1754.6,1680.125,1590.7,1501.1000000000001
2025cmptx,1779.1999999999998,1771.9,1721.8,
2025cnsh,1615.125,1568.0,1531.0,
2025code,1662.8999999999999,1605.0,1589.6,1529.8
2025cthar,1713.7,1596.0,1568.0,1499.1
2025ctwat,1778.8,1666.3,1568.0,1491.0
2025flor,1696.0,1588.7,1560.5,1468.75
2025flta,1605.6000000000001,1579.0,1556.0,1431.75
2025flwp,1707.6000000000001,1609.5,1584.3,1459.0
2025gaalb,1706.1,1619.2,1511.1,1342.9
2025gadal,1567.3,1527.0,1506.6,1385.5
2025gagai,1690.3,1634.4,1575.3999999999999,1443.9
2025gagwi,1706.1,1634.4,1529.7,1410.375
2025gasta,1607.3,1589.7,1528.6,1386.8000000000002
2025hiho,1718.8000000000002,1631.2,1578.7,1445.9
2025iacf,1605.0,1602.1,1579.6000000000001,1514.1
2025idbo,1707.1,1632.25,1563.6000000000001,1515.0
2025ilch,1711.1999999999998,1705.8,1587.2,1445.0
2025ilpe,1772.1000000000001,1615.5,1580.5,1495.8000000000002
2025inkok,1676.0,1651.1,1612.1,1506.8
2025inlaf,1679.6,1653.8999999999999,1612.1,1492.0
2025inmis,1679.6,1653.8999999999999,1590.7,1448.4
2025inwas,1663.3999999999999,1622.5,1557.3,
2025isde1,1791.8,1629.9,1568.1000000000001,1443.8
2025isde2,1691.0,1628.9,1589.9,1514.2
2025isde3,1718.8000000000002,1623.8,1577.7,1460.4
2025isde4,1663.1000000000001,1629.9,1584.1,1497.6
2025ksla,1655.3000000000002,1599.1999999999998,1553.3,1463.6000000000001
2025lake,1674.6,1643.6,1576.6999999999998,1498.5
2025mabos,1711.6,1674.6,1580.2,1497.6999999999998
2025mawne,1713.7,1687.8999999999999,1596.0,1496.2
2025mawor,1731.1,1667.4,1641.9,1547.7
2025mdbet,1558.0,1535.8,1528.7,1427.0
2025mdpas,1645.5,1596.6,1546.8,1466.5
