Team,Elo Rating for Bonus RPs
frc1577,6406.916967150796
frc1690,6411.1404036462745
frc5654,4146.260834711994
frc2630,7167.629868420325
frc5990,2056.880755974644
frc2096,3528.117842327513
frc5135,5060.9698790597995
frc7067,4911.77801119145
frc3211,6419.270011524026
frc2230,5666.278349502471
frc1574,5680.918140420289
frc6168,4175.413417764686
frc4319,1804.750867707074
frc6740,659.6576730758914
frc4338,3545.1013786065255
frc1576,3547.433217427143
frc3388,5683.790915834794
frc6741,-758.7887860595409
frc3065,4932.477392303045
frc3083,4191.947225006213
frc4661,4195.77729651272
frc6738,6421.826822013446
frc1943,4202.057785927058
frc9304,-1508.6417305282062
frc5554,4205.595917115606
frc4613,4940.069971101211
frc359,7167.574499499705
frc4253,4943.267742130252
frc4421,-61.72032370357559
frc9180,2374.4577372526146
frc7287,-751.630586112261
frc8871,2378.030059671567
frc4627,3588.820637718718
frc1868,3590.926372086197
frc5419,4235.654648930993
frc5997,-56.41436676551058
frc8331,-1499.1707951701942
frc6390,670.2511409929565
frc6351,-3879.1075483106615
frc7167,-2247.4654835766764
frc7190,-2247.180627931655
frc6364,2385.5689173237265
frc7796,-1494.5342084377428
frc8339,-1492.7985090214975
frc244,2389.4048661059333
frc7688,-3050.0618744132757
frc9292,-1490.610829161544
frc7787,-1488.6176906644698
frc9277,-4595.787453177469
frc7135,-5322.004355146947
frc3256,4228.812156066083
frc8338,-745.10740114126
frc9079,1885.9018733576177
frc7173,-3857.409223628466
frc5118,-4589.7727074038185
frc216,1888.8485227863569
frc7332,-3045.919959486293
frc288,1891.707384840559
frc1622,2397.8409682165543
frc7781,-5320.273021415883
frc3339,7170.1873178858195
frc5987,4946.287693316785
frc2231,7768.938309138023
frc3316,4238.678257496338
frc7845,6420.709903723479
frc2679,2966.951153515185
frc2212,4952.195217622886
frc7039,7175.338293197053
frc5614,4955.270805251273
frc1942,6422.442028191383
frc1657,1918.4705220522217
frc8175,3624.0023040408278
frc9303,5703.2847266689305
frc4586,4263.004131046533
frc3075,6424.087346702797
frc4590,6426.333066774623
frc1954,-32.858591646908174
frc5635,2978.131755301816
frc4744,1929.491705096369
frc6104,2979.6903084832766
frc5928,2451.8648274547577
frc5715,6428.154618243045
frc7112,4971.582911484945
frc1580,1940.3647740811905
frc4320,4974.752301051393
frc3835,-26.398820833406457
frc4416,2463.926919888507
frc5951,1330.7817740009457
frc1937,2985.8002780172073
frc4522,6543.145517033514
frc3937,6446.886310909223
frc4766,4983.375177298754
frc16,5719.236140227368
frc7525,3648.3315004251626
frc4336,5722.561727455253
frc4265,7173.918307935585
frc1939,6440.505641532053
frc3039,6497.818642359547
frc1561,5731.766270969932
frc3102,690.1475791868208
frc5454,5008.203662084358
frc3284,3006.7649188549117
frc1038,5011.315386351152
frc9067,3655.160154677566
frc2393,2507.148086506515
frc3931,1963.554006348922
frc4959,1345.0194481950598
frc3179,3021.3012819566243
frc6055,699.7050228596124
frc1997,700.9374201686745
frc5437,702.2405539724815
frc7106,703.6185749241956
frc7430,-3.5631657583180933
frc9073,705.3407124300868
frc5002,1349.1394492032596
frc6586,3024.8969412366146
frc5006,5586.79854353328
frc7483,1351.6135467628249
frc695,7174.3319220710055
frc179,6255.490000023553
frc5472,8312.037386084992
frc4065,2525.1123050546776
frc3173,1980.017465553521
frc180,5735.380753581018
frc4206,7749.476259575247
frc2383,3673.9484945029863
frc11,5131.3718952295885
frc7403,-1432.8233405841938
frc3932,5561.2745397741455
frc108,3063.7744812367946
frc79,-2222.1094041943456
frc5410,1367.0628408292152
frc5557,4337.364603850694
frc3653,3070.7106142793436
frc1523,-718.6426769400497
frc8104,-1426.4530634672342
frc2641,3.126955294181174
frc7652,-3007.3232480707643
frc348,2553.290528059724
frc7833,-3006.364527357774
frc8817,1369.6601130051251
frc2152,4.359687460721182
frc744,-2217.622589220352
frc6686,-3814.5423305817944
