Team,Elo Rating for Total RPs
frc1577,8199.341756045187
frc1690,7582.594715859029
frc5654,4311.728146557667
frc2630,7159.5643402066735
frc5990,2237.138474397294
frc2096,4788.91125938924
frc5135,4954.903126941501
frc7067,5816.958241621825
frc3211,6607.371141224912
frc2230,4348.8953646932405
frc1574,6328.465687176371
frc6168,3260.1429427151147
frc4319,1046.2841783740068
frc6740,-37.8292425635881
frc4338,1706.1013437036336
frc1576,3710.278349695325
frc3388,7170.3347311291855
frc6741,-33.93582408215539
frc3065,6621.607614493199
frc3083,2145.4703247295397
frc4661,2148.0413479210297
frc6738,5837.094149472885
frc1943,4336.267987989914
frc9304,-1827.184362978703
frc5554,1049.4435369402088
frc4613,5842.245494796597
frc359,7179.7811472725025
frc4253,5847.5574050819705
frc4421,1721.7251957020758
frc9180,1724.9299642181113
frc7287,3271.519418445906
frc8871,-610.3038646544841
frc4627,5852.547023609803
frc1868,1728.5466154922283
frc5419,4368.443134494049
frc5997,-625.949309398047
frc8331,1731.889873939995
frc6390,1060.4874960763243
frc6351,1060.8051078136748
frc7167,1061.1256377440886
frc7190,-26.76099099957247
frc6364,5857.762863513841
frc7796,-615.604724801524
frc8339,-613.8184106924919
frc244,2745.316199207807
frc7688,-611.9764426620479
frc9292,-610.1253537713778
frc7787,-608.2596172216872
frc9277,-1823.9879014184176
frc7135,-2494.3481294261733
frc3256,1060.1271320241872
frc8338,-2493.707330663729
frc9079,-1274.738545859444
frc7173,-3754.0659842105883
frc5118,-4411.418822898885
frc216,4347.675911357758
frc7332,-4411.90101724141
frc288,1060.6075424356218
frc1622,2744.108244868729
frc7781,-8159.05706127083
frc3339,7755.456847829705
frc5987,4835.633463015618
frc2231,8189.478744439008
frc3316,2155.3579078004236
frc7845,7600.252531187077
frc2679,1061.9842175607603
frc2212,7606.169501001327
frc7039,7202.8209210107325
frc5614,7614.463180779918
frc1942,6646.837448087894
frc1657,-19.457278643198922
frc8175,1734.6185408878268
frc9303,3288.6864664594486
frc4586,3292.9853524102687
frc3075,5866.2035483751015
frc4590,7617.853962485606
frc1954,-594.6456691453374
frc5635,2158.8261864285428
frc4744,1065.0283609583319
frc6104,1065.3971167589289
frc5928,1738.178966681294
frc5715,8197.332369398715
frc7112,3720.080503046117
frc1580,3304.702645770147
frc4320,5870.103261518282
frc3835,-589.5298580144175
frc4416,-588.1035080243863
frc5951,2762.6529314058325
frc1937,1067.6993890231684
frc4522,7821.636185513519
frc3937,8851.631266807095
frc4766,3723.7720417854084
frc16,6375.827208514022
frc7525,3727.021135578351
frc4336,6382.147857676129
frc4265,9590.377728532716
frc1939,8220.290570564908
frc3039,8892.992325785684
frc1561,7802.785888946351
frc3102,-11.482868129594458
frc5454,5883.950519541668
frc3284,1068.0603610126464
frc1038,2766.109129167268
frc9067,1737.3382567230137
frc2393,2767.3564361014455
frc3931,4363.178168853861
frc4959,-580.1561648550609
frc3179,4365.769998713772
frc6055,1070.030381822533
frc1997,1070.2729843720608
frc5437,1070.4833411922355
frc7106,-2.1396180604653408
frc7430,-573.6965428200258
frc9073,2170.0605429973393
frc5002,1737.895109802233
frc6586,3331.044816872957
frc5006,5284.738232892079
frc7483,382.31367515265777
frc695,7230.304261526002
frc179,7572.3783092053645
frc5472,9583.024517164797
frc4065,8227.22809748258
frc3173,4369.306745317495
frc180,5251.8060396786295
frc4206,8231.472842561894
frc2383,3745.67409141461
frc11,5974.201029981822
frc7403,2778.880581182053
frc3932,6316.3069403610225
frc108,5259.378142021497
frc79,-2484.742624063395
frc5410,384.35955333350626
frc5557,2174.6061366600497
frc3653,3343.7118492534228
frc1523,-1267.5502274637859
frc8104,-569.7647381727132
frc2641,-568.7348370924494
frc7652,-1815.953177619383
frc348,2786.016290822891
frc7833,-1814.2401508692094
frc8817,3753.55417017406
frc2152,1740.1822200995205
frc744,-2475.8357488557413
frc6686,-2475.3290674851633
frc9040,-2474.832604474755
frc7500,2788.831062057096
frc1744,13.426455509030383
frc8791,-3749.5157616417
frc59,7237.307206901597
frc3627,-2474.1577597602836
frc4592,-564.5609070884434
frc8581,-7940.813923296943
frc6919,5261.379197174529
frc1683,7815.579763007986
frc4509,8610.995214086768
frc4112,471.41398544608853
frc9260,1080.7733727190152
frc4188,5907.3376575061875
frc4701,2791.6755152821443
frc7538,5911.662701028632
frc3344,-563.307348178017
frc8100,-562.4554017550095
frc8137,21.633904113986585
frc5848,-4410.3891282210225
frc4240,1073.0323594274332
frc5828,-2471.963438565292
frc3635,1071.7844467982252
frc3329,-3748.2359618347555
frc7470,1070.871784252197
frc8815,1743.2792654241953
frc4459,-558.2127566014811
frc9086,-6019.9347896638965
frc4730,-1810.3946948342732
frc857,5327.232759542427
frc3175,8618.911631517329
frc5505,3765.0723226823475
frc6637,3357.3346689002387
frc6569,4874.698237147012
frc4391,7822.345293784413
frc7782,1068.3424768582277
frc7250,2797.646633500878
frc4392,1745.2707664059865
frc573,8617.241811027663
frc5314,7248.625570948493
frc9249,-4409.832181341614
frc4375,-557.2637237113037
frc4835,-4410.117239622799
frc5534,8252.109475885754
frc6077,-3747.255760624489
frc2586,4386.215891827684
frc4988,31.50131104491533
frc7154,4388.856783176599
frc9188,-3746.7456430199236
frc6079,1065.0989421659795
frc5486,-2469.106962673529
frc6112,2801.3611546358825
frc3602,1747.2077811292518
frc1596,36.45978238221275
frc7768,-2468.7214089622234
frc6345,1063.253351812375
frc7826,1062.9522993641733
frc8382,2802.416822966291
frc4827,-4408.805419498941
frc7713,2803.6406473311454
frc5706,-550.9793906399236
frc7244,3365.333903040105
frc6088,-550.4027192835418
frc5213,-2467.968599792977
frc4376,-3745.564001445387
frc5714,-2467.611089633523
frc6558,1058.4974311374438
frc3357,8620.033492001981
frc3767,7256.060558001269
frc6081,7833.182243599895
frc1918,7264.67330710935
frc3603,4877.3191369923725
frc85,5924.433697696257
frc4377,4394.444017200314
frc7794,4397.131835302359
frc2054,8834.664086070217
frc7202,-549.7138236095775
frc3234,4399.790304347661
frc7289,-549.180782928494
frc6753,8261.089445863628
frc7054,8264.23559229264
frc1711,4402.418219088871
frc7155,41.764041293302384
frc3688,9117.371487891978
frc4967,7268.562349463105
frc2771,416.7224953828591
frc8612,2811.8358307454955
frc9106,1749.7734440207332
frc4237,1751.4282044378917
