Team Number,Event 1,Event 2,Event 3,Event 4,Event 5,Event 6,Event 7
1,2024miket,2024mitry
4,2024caph,2024caoc
8,2024cave,2024azgl
11,2024njfla,2024njwas
16,2024arli,2024ilch
20,2024nysu,2024nytr
21,2024flta,2024flor
25,2024pahat,2024njall
27,2024miket,2024nyro,2024mitry,2024cmptx
28,2024nyli2,2024nyny
31,2024oktu,2024okok
33,2024miket,2024miliv
34,2024mslr,2024alhu
41,2024njfla,2024njwas
45,2024inmis,2024incol
48,2024nysu,2024ohcl,2024ohmv
51,2024mibel,2024miliv
56,2024njfla,2024njwas
58,2024nhgrs,2024melew
59,2024flwp,2024flor,2024okok
60,2024azva,2024nvlv
61,2024mabri,2024mawne
66,2024mibel,2024miliv
67,2024mimil,2024miann
68,2024mike2,2024mitry
69,2024mabri,2024mawor
70,2024miket,2024milan
71,2024inmis,2024incol
74,2024misjo,2024miwmi
75,2024njfla,2024njwas
78,2024mabri,2024mabos
79,2024flta,2024flor
85,2024mimus,2024miwmi
86,2024flta,2024flor
87,2024njtab,2024paben
88,2024mabri,2024marea
93,2024mndu,2024wimi
94,2024mibel,2024milan
95,2024nhgrs,2024rikin
97,2024cthar,2024rikin
100,2024casj,2024camb
102,2024njski,2024njwas
103,2024njall,2024paben
107,2024mitvc,2024miwmi
108,2024flwp,2024flta
111,2024ilpe,2024ilch
112,2024ilpe,2024ilch
114,2024casf,2024idbo
115,2024cave,2024camb
116,2024mdsev,2024vafal
117,2024paca
118,2024txkat,2024oktu,2024flta,2024txhou,2024txcle,2024cmptx
120,2024ohcl
122,2024vapor,2024vafal
123,2024midtr,2024midet
125,2024mabri,2024melew,2024mabos
126,2024nhgrs,2024rikin
128,2024ohmv
131,2024nhgrs,2024mabos
133,2024melew,2024nhdur
135,2024inmis,2024inpla
138,2024nhgrs,2024marea
141,2024flwp,2024milsu,2024miwmi
144,2024paca,2024ilpe,2024ohmv
148,2024txpla,2024txdal
151,2024marea,2024mawor
155,2024ctwat,2024mawne
157,2024nhgrs,2024rikin
159,2024code
166,2024melew,2024nhdur
167,2024mose,2024iacf
171,2024ilpe,2024wila
172,2024melew,2024nhdur
173,2024cthar,2024mawne
175,2024cthar,2024rikin
176,2024ctwat,2024mawne
177,2024cthar,2024mawne
178,2024ctwat,2024mawne
179,2024flwp,2024flor
180,2024flwp,2024flta,2024flor
181,2024cthar,2024rikin
188,2024onsca,2024onosh
190,2024rikin,2024mabos,2024mawor
191,2024nyro,2024ilch
192,2024casj,2024idbo
193,2024njfla,2024njwas
195,2024ctwat,2024mawne
199,2024cada,2024cabe
201,2024mimil,2024mitry
203,2024njtab,2024paben
204,2024njtab,2024paphi
216,2024bcvi,2024onbar,2024miwmi,2024miken
217,2024mibel,2024mitry
219,2024njfla,2024njwas
222,2024njfla,2024njski
223,2024njfla,2024njski
226,2024mibel,2024mitry
228,2024cthar,2024ctwat,2024mawne
229,2024nyro,2024nytr
230,2024ctwat,2024mawne
231,2024txkat,2024txcle
233,2024flta,2024flor
234,2024inpla,2024ineva
236,2024cthar,2024mawne
