district,team,total points,average points,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
CHS,2363,1608,201.0,362,333,0,63,185,181,297,187,,,,,,,
CHS,1731,1339,167.375,342,202,0,11,104,244,203,233,,,,,,,
CHS,1727,686,114.33333333333333,336,87,,19,114,80,50,,,,,,,,
CHS,8592,378,126.0,291,77,10,,,,,,,,,,,,
CHS,401,1386,173.25,271,235,0,29,244,247,145,215,,,,,,,
CHS,5804,1081,135.125,255,218,0,69,34,222,54,229,,,,,,,
CHS,836,1617,202.125,247,341,0,46,242,231,172,338,,,,,,,
CHS,2199,843,105.375,236,156,0,40,151,99,115,46,,,,,,,
CHS,1629,1449,181.125,236,279,0,0,228,277,210,219,,,,,,,
CHS,4099,644,80.5,214,225,0,26,83,46,23,27,,,,,,,
CHS,384,1370,171.25,203,175,0,39,209,284,347,113,,,,,,,
CHS,422,1068,133.5,191,167,0,24,83,285,73,245,,,,,,,
CHS,1123,583,72.875,185,102,0,38,78,27,102,51,,,,,,,
CHS,5724,609,76.125,179,189,0,0,52,120,37,32,,,,,,,
CHS,2106,611,76.375,178,44,0,63,148,116,46,16,,,,,,,
CHS,1599,835,104.375,178,103,0,49,157,158,93,97,,,,,,,
CHS,6802,630,105.0,173,87,0,28,209,133,,,,,,,,,
CHS,449,948,118.5,168,175,0,39,249,44,165,108,,,,,,,
CHS,614,862,123.14285714285714,162,154,,29,246,190,56,25,,,,,,,
CHS,4472,905,113.125,160,208,0,71,136,167,123,40,,,,,,,
CHS,346,1144,143.0,151,41,0,16,260,234,191,251,,,,,,,
CHS,623,984,123.0,149,232,0,63,19,201,134,186,,,,,,,
CHS,1418,1129,141.125,138,53,0,35,224,162,158,359,,,,,,,
CHS,1908,385,48.125,134,112,0,18,46,22,27,26,,,,,,,
CHS,686,670,83.75,128,142,0,31,82,41,47,199,,,,,,,
CHS,3136,469,58.625,125,122,0,31,46,73,35,37,,,,,,,
CHS,1610,1015,126.875,125,210,0,52,204,136,176,112,,,,,,,
CHS,5338,747,93.375,123,133,0,46,136,106,123,80,,,,,,,
