Team,Total Matches With,Wins With,Losses With,Ties With,Wins Against,Losses Against,Ties Against,Delta Against
888,25,2,4,0,12,7,0,5
1895,12,2,1,0,4,5,0,-1
339,18,2,2,0,4,10,0,-6
1915,19,0,5,0,8,6,0,2
1446,9,3,0,0,4,2,0,2
1820,1,0,1,0,0,0,0,0
449,30,2,6,0,8,14,0,-6
1524,1,0,0,0,0,1,0,-1
1748,8,0,1,0,2,5,0,-3
614,35,10,7,0,11,7,0,4
181,2,1,0,0,0,1,0,-1
1051,1,1,0,0,0,0,0,0
1597,1,0,0,0,1,0,0,1
1647,2,0,0,0,2,0,0,2
316,4,0,0,0,2,2,0,0
602,1,1,0,0,0,0,0,0
399,1,1,0,0,0,0,0,0
615,2,0,0,0,1,1,0,0
1449,1,0,0,0,1,0,0,1
611,13,1,3,0,9,0,0,9
175,3,1,0,0,2,0,0,2
1893,9,1,1,0,2,5,0,-3
165,4,2,0,0,2,0,0,2
1418,19,4,2,0,9,4,0,5
1886,6,1,2,0,2,1,0,1
686,28,10,4,0,9,5,0,4
709,10,0,4,0,3,3,0,0
56,2,1,0,0,0,1,0,-1
612,19,4,2,0,2,11,0,-9
1904,1,0,1,0,0,0,0,0
7,7,0,2,0,3,2,0,1
203,6,0,2,0,2,2,0,0
1900,5,1,1,0,1,2,0,-1
1111,22,6,4,0,5,7,0,-2
1389,17,3,2,0,6,6,0,0
1894,3,1,1,0,1,0,0,1
1123,26,5,4,0,7,10,0,-3
237,4,1,0,0,1,2,0,-1
1519,1,1,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0
49,3,0,0,0,2,1,0,1
900,3,1,0,0,2,0,0,2
1563,1,0,0,0,1,0,0,1
1006,1,0,1,0,0,0,0,0
1481,1,0,1,0,0,0,0,0
1155,1,0,0,0,0,1,0,-1
122,8,2,1,0,0,5,0,-5
1503,1,0,0,0,0,1,0,-1
1918,1,1,0,0,0,0,0,0
25,2,1,1,0,0,0,0,0
1306,1,0,0,0,1,0,0,1
294,1,0,0,0,1,0,0,1
280,1,0,0,0,1,0,0,1
1281,1,1,0,0,0,0,0,0
151,1,1,0,0,0,0,0,0
184,1,0,0,0,1,0,0,1
1810,1,0,0,0,1,0,0,1
868,8,1,2,0,2,3,0,-1
714,2,1,1,0,0,0,0,0
1350,1,0,1,0,0,0,0,0
195,1,0,0,0,0,1,0,-1
40,1,0,0,0,0,1,0,-1
1746,3,1,0,0,1,1,0,0
492,1,0,1,0,0,0,0,0
546,1,0,1,0,0,0,0,0
662,1,0,0,0,0,1,0,-1
236,1,0,0,0,0,1,0,-1
514,1,0,0,0,0,1,0,-1
348,2,1,0,0,1,0,0,1
1541,1,1,0,0,0,0,0,0
1601,3,0,1,0,1,1,0,0
461,2,0,1,0,1,0,0,1
379,2,0,0,0,2,0,0,2
306,6,1,4,0,0,1,0,-1
291,5,0,0,0,1,4,0,-3
398,6,1,0,0,2,3,0,-1
1708,4,2,2,0,0,0,0,0
423,5,0,1,0,2,2,0,0
393,2,0,0,0,0,2,0,-2
63,3,0,1,0,0,2,0,-2
1391,5,1,2,0,1,1,0,0
395,3,0,0,0,0,3,0,-3
117,2,1,0,0,0,1,0,-1
859,4,0,2,0,2,0,0,2
1038,3,2,1,0,0,0,0,0
1629,21,10,1,0,3,7,0,-4
365,11,1,2,0,4,4,0,0
1370,9,0,4,0,5,0,0,5
1249,2,0,1,0,0,1,0,-1
808,2,0,0,0,1,1,0,0
1743,2,0,0,0,2,0,0,2
128,4,0,2,0,0,2,0,-2
337,3,0,0,0,1,2,0,-1
1386,1,0,0,0,1,0,0,1
341,13,6,2,0,1,4,0,-3
2234,6,2,2,0,1,1,0,0
1719,27,6,3,0,14,4,0,10
1975,2,0,0,0,2,0,0,2
75,5,4,0,0,0,1,0,-1
768,8,3,1,0,1,3,0,-2
1284,1,1,0,0,0,0,0,0
484,5,0,2,0,3,0,0,3
1980,4,1,0,0,2,1,0,1
1464,1,1,0,0,0,0,0,0
1656,2,0,0,0,2,0,0,2
2121,3,1,0,0,2,0,0,2
1599,17,6,1,0,2,8,0,-6
1934,2,0,0,0,1,1,0,0
87,4,1,2,0,1,0,0,1
2199,28,11,3,0,3,11,0,-8
1168,2,1,1,0,0,0,0,0
501,1,0,1,0,0,0,0,0
190,9,3,2,0,2,2,0,0
2265,2,1,0,0,0,1,0,-1
1311,3,1,0,0,0,2,0,-2
457,1,0,1,0,0,0,0,0
20,2,0,1,0,0,1,0,-1
2047,1,0,0,0,0,1,0,-1
922,1,0,1,0,0,0,0,0
1230,1,0,0,0,0,1,0,-1
2108,2,0,0,0,1,1,0,0
226,3,1,1,0,0,1,0,-1
247,1,1,0,0,0,0,0,0
835,2,0,0,0,2,0,0,2
811,2,1,1,0,0,0,0,0
148,1,1,0,0,0,0,0,0
168,1,0,0,0,1,0,0,1
88,6,2,2,0,2,0,0,2
1102,1,1,0,0,0,0,0,0
1676,2,0,0,0,1,1,0,0
39,1,0,0,0,1,0,0,1
744,1,0,0,0,1,0,0,1
2194,1,0,0,0,0,1,0,-1
573,3,1,0,0,1,1,0,0
694,1,1,0,0,0,0,0,0
136,2,0,0,0,1,1,0,0
1689,3,0,0,0,1,2,0,-1
637,1,0,0,0,1,0,0,1
103,2,0,1,0,0,1,0,-1
555,2,0,2,0,0,0,0,0
613,1,0,0,0,0,1,0,-1
1807,4,0,0,0,1,3,0,-2
486,3,0,1,0,0,2,0,-2
381,1,0,0,0,0,1,0,-1
1218,3,1,1,0,0,1,0,-1
1279,4,1,0,0,1,2,0,-1
1048,1,0,1,0,0,0,0,0
869,2,0,1,0,0,1,0,-1
11,2,0,0,0,0,2,0,-2
