Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
863,1,0,1,0,0,0,-1
188,33,8,2,4,19,-15,6
639,1,0,0,0,1,-1,0
229,2,0,2,0,0,0,-2
854,29,3,5,9,12,-3,-2
610,45,13,6,1,25,-24,7
291,3,1,1,0,1,-1,0
772,29,7,6,13,3,10,1
296,8,3,0,2,3,-1,3
247,2,1,0,1,0,1,1
914,5,0,1,3,1,2,-1
48,15,6,4,2,3,-1,2
776,3,0,2,1,0,1,-2
5,1,0,0,0,1,-1,0
11,1,0,0,0,1,-1,0
912,7,1,1,4,1,3,0
913,3,0,1,2,0,2,-1
641,1,0,0,1,0,1,0
907,21,8,6,3,4,-1,2
222,1,0,0,0,1,-1,0
758,5,0,2,2,1,1,-2
233,1,1,0,0,0,0,1
885,1,0,0,1,0,1,0
378,5,0,0,2,3,-1,0
919,10,1,2,2,5,-3,-1
891,1,0,0,0,1,-1,0
276,1,0,0,0,1,-1,0
34,2,0,1,0,1,-1,-1
85,1,0,0,0,1,-1,0
815,2,0,1,0,1,-1,-1
405,1,0,1,0,0,0,-1
557,1,0,0,0,1,-1,0
250,2,0,0,0,2,-2,0
1108,3,0,1,1,1,0,-1
168,1,0,0,0,1,-1,0
120,1,0,0,0,1,-1,0
157,1,0,1,0,0,0,-1
59,1,0,0,0,1,-1,0
75,3,0,1,0,2,-2,-1
618,1,1,0,0,0,0,1
1158,1,0,0,1,0,1,0
226,1,0,0,1,0,1,0
953,1,1,0,0,0,0,1
335,1,0,0,1,0,1,0
967,1,0,0,1,0,1,0
665,1,0,1,0,0,0,-1
47,1,0,0,0,1,-1,0
201,1,0,0,0,1,-1,0
1114,63,31,5,3,24,-21,26
1088,1,0,0,0,1,-1,0
235,1,0,1,0,0,0,-1
820,3,0,0,2,1,1,0
752,1,0,0,0,1,-1,0
314,1,0,1,0,0,0,-1
808,1,0,0,0,1,-1,0
1232,1,1,0,0,0,0,1
1221,10,1,0,7,2,5,1
1109,1,0,0,1,0,1,0
714,2,0,0,2,0,2,0
1084,6,3,0,2,1,1,3
1219,17,0,5,5,7,-2,-5
783,2,0,1,0,1,-1,-1
1129,1,0,0,0,1,-1,0
849,1,0,0,0,1,-1,0
578,2,0,1,0,1,-1,-1
886,11,0,5,3,3,0,-5
773,8,1,1,5,1,4,0
1486,1,0,1,0,0,0,-1
703,4,1,0,0,3,-3,1
22,1,0,0,0,1,-1,0
1229,1,0,0,1,0,1,0
1330,2,1,1,0,0,0,0
1075,22,3,5,11,3,8,-2
1112,3,0,2,0,1,-1,-2
1009,5,0,1,1,3,-2,-1
1392,1,0,1,0,0,0,-1
865,33,2,12,9,10,-1,-10
1334,45,7,9,6,23,-17,-2
301,1,0,0,1,0,1,0
1049,2,0,0,0,2,-2,0
1006,15,1,2,8,4,4,-1
1514,9,1,5,2,1,1,-4
1596,6,0,0,3,3,0,0
859,4,0,1,1,2,-1,-1
1281,5,0,3,2,0,2,-3
1246,28,1,6,9,12,-3,-5
1305,47,9,10,6,22,-16,-1
1355,2,0,1,0,1,-1,-1
84,1,0,1,0,0,0,-1
1605,7,1,1,3,2,1,0
781,21,2,5,5,9,-4,-3
1058,3,0,2,1,0,1,-2
1511,3,1,0,0,2,-2,1
1053,4,1,1,1,1,0,0
1241,47,23,4,5,15,-10,19
63,3,2,0,0,1,-1,2
1547,10,0,4,4,2,2,-4
1419,3,1,0,2,0,2,1
1620,3,1,0,2,0,2,1
1482,9,1,3,1,4,-3,-2
1935,1,0,1,0,0,0,-1
1846,13,2,3,6,2,4,-1
49,1,0,0,0,1,-1,0
1835,12,1,2,2,7,-5,-1
1295,1,0,0,1,0,1,0
178,1,0,0,1,0,1,0
1244,2,0,2,0,0,0,-2
1680,10,2,3,3,2,1,-1
65,1,0,1,0,0,0,-1
1814,4,0,0,3,1,2,0
1564,3,0,2,1,0,1,-2
1558,7,1,2,2,2,0,-1
843,11,2,3,6,0,6,-1
1815,16,2,3,5,6,-1,-1
1397,1,0,0,1,0,1,0
830,5,0,0,3,2,1,0
1189,4,1,0,2,1,1,1
453,2,0,0,1,1,0,0
68,11,0,3,4,4,0,-3
931,4,1,0,1,2,-1,1
1901,8,3,1,1,3,-2,2
2067,1,0,1,0,0,0,-1
97,3,0,2,0,1,-1,-2
1418,1,0,0,0,1,-1,0
2283,1,0,0,0,1,-1,0
141,2,0,1,0,1,-1,-1
2054,3,1,1,0,1,-1,0
469,1,0,0,0,1,-1,0
126,3,0,1,0,2,-2,-1
1647,2,0,0,1,1,0,0
1732,2,2,0,0,0,0,2
234,1,1,0,0,0,0,1
108,1,0,0,1,0,1,0
612,1,0,0,1,0,1,0
1714,2,0,1,0,1,-1,-1
1700,1,0,0,0,1,-1,0
716,1,0,0,0,1,-1,0
121,1,0,0,0,1,-1,0
1636,1,0,1,0,0,0,-1
527,2,0,0,1,1,0,0
1617,1,0,1,0,0,0,-1
339,2,0,0,0,2,-2,0
1137,1,0,0,0,1,-1,0
1826,1,0,0,0,1,-1,0
343,1,0,1,0,0,0,-1
2137,1,0,1,0,0,0,-1
1563,1,0,0,0,1,-1,0
558,2,0,0,0,2,-2,0
1310,49,15,12,6,16,-10,3
1870,3,1,1,0,1,-1,0
2254,1,0,1,0,0,0,-1
809,3,0,1,1,1,0,-1
1404,2,1,1,0,0,0,0
1141,4,0,0,2,2,0,0
269,1,0,0,0,1,-1,0
1503,18,8,4,3,3,0,4
2198,16,0,3,8,5,3,-3
2056,35,12,4,3,16,-13,8
2076,9,1,2,5,1,4,-1
2166,6,1,0,4,1,3,1
2200,28,8,6,3,11,-8,2
1565,10,2,0,4,4,0,2
1535,10,2,3,0,5,-5,-1
1312,3,1,2,0,0,0,-1
2634,18,2,5,5,6,-1,-3
2624,1,0,0,1,0,1,0
2013,24,6,3,8,7,1,3
1507,2,0,0,0,2,-2,0
2625,6,2,1,2,1,1,1
1325,31,5,4,10,12,-2,1
2185,6,1,1,3,1,2,0
2626,2,0,2,0,0,0,-2
2386,29,2,6,10,11,-1,-4
2361,4,0,1,1,2,-1,-1
2609,12,4,1,2,5,-3,3
2935,12,1,5,4,2,2,-4
3117,3,0,1,0,2,-2,-1
2505,4,0,1,2,1,1,-1
2809,9,1,1,3,4,-1,0
1518,3,1,0,2,0,2,1
1126,2,1,0,0,1,-1,1
1559,4,1,0,2,1,1,1
2670,2,0,1,1,0,1,-1
2852,31,7,6,6,12,-6,1
1626,1,0,1,0,0,0,-1
3003,1,0,0,0,1,-1,0
1405,1,0,0,0,1,-1,0
1591,2,0,1,0,1,-1,-1
1765,2,0,0,0,2,-2,0
1728,1,0,0,0,1,-1,0
145,2,0,1,0,1,-1,-1
211,1,0,0,0,1,-1,0
2999,1,0,1,0,0,0,-1
173,2,0,1,0,1,-1,-1
3057,1,0,1,0,0,0,-1
1713,1,0,0,0,1,-1,0
1585,2,0,0,1,1,0,0
522,4,0,2,1,1,0,-2
174,1,1,0,0,0,0,1
316,1,0,0,1,0,1,0
3044,1,1,0,0,0,0,1
340,1,1,0,0,0,0,1
191,3,1,0,1,1,0,1
1450,1,0,0,1,0,1,0
2340,1,0,1,0,0,0,-1
3386,1,0,0,0,1,-1,0
2949,2,0,0,1,1,0,0
3382,3,0,1,1,1,0,-1
2702,19,4,7,3,5,-2,-3
3375,1,0,0,1,0,1,0
2994,12,2,2,4,4,0,0
3379,2,0,1,1,0,1,-1
3387,5,0,1,1,3,-2,-1
3040,1,0,0,0,1,-1,0
3360,5,2,1,0,2,-2,1
3396,7,3,3,1,0,1,0
3161,16,1,6,2,7,-5,-5
3190,3,0,1,0,2,-2,-1
1000,3,0,1,1,1,0,-1
3017,1,0,1,0,0,0,-1
1477,1,0,1,0,0,0,-1
1023,1,0,0,0,1,-1,0
3462,1,0,0,0,1,-1,0
1065,1,1,0,0,0,0,1
1323,1,1,0,0,0,0,1
2022,1,0,0,1,0,1,0
1718,3,3,0,0,0,0,3
177,1,1,0,0,0,0,1
677,3,1,0,1,1,0,1
74,1,0,0,1,0,1,0
3756,8,3,1,3,1,2,2
2169,1,0,1,0,0,0,-1
330,1,0,0,0,1,-1,0
2543,1,0,0,0,1,-1,0
1138,1,0,0,0,1,-1,0
3010,1,0,1,0,0,0,-1
3098,1,0,0,0,1,-1,0
1270,1,0,0,0,1,-1,0
1629,2,0,1,0,1,-1,-1
537,1,0,1,0,0,0,-1
2972,1,0,1,0,0,0,-1
3467,1,0,0,0,1,-1,0
2549,1,0,0,0,1,-1,0
3351,1,0,0,0,1,-1,0
701,1,0,1,0,0,0,-1
876,1,0,0,0,1,-1,0
155,1,0,0,0,1,-1,0
2512,1,0,1,0,0,0,-1
440,1,0,1,0,0,0,-1
3494,1,0,0,0,1,-1,0
2500,2,0,1,0,1,-1,-1
3694,1,0,0,0,1,-1,0
3704,1,1,0,0,0,0,1
1811,1,0,0,1,0,1,0
33,2,0,0,1,1,0,0
3506,1,0,0,1,0,1,0
238,1,0,1,0,0,0,-1
167,1,0,1,0,0,0,-1
1640,2,0,1,0,1,-1,-1
360,1,0,0,0,1,-1,0
862,1,0,0,0,1,-1,0
3664,6,0,1,2,3,-1,-1
3590,2,1,0,0,1,-1,1
3739,10,2,2,4,2,2,0
3533,2,0,0,0,2,-2,0
3531,1,0,0,1,0,1,0
3550,1,0,1,0,0,0,-1
3571,10,1,2,6,1,5,-1
3541,2,0,0,1,1,0,0
3710,2,0,1,0,1,-1,-1
3543,8,0,4,4,0,4,-4
2252,2,0,1,0,1,-1,-1
2641,6,1,0,2,3,-1,1
1038,3,2,0,0,1,-1,2
1708,2,0,1,1,0,1,-1
3567,4,0,1,2,1,1,-1
1541,2,1,0,1,0,1,1
2172,2,0,1,0,1,-1,-1
306,2,0,1,1,0,1,-1
1743,2,0,1,0,1,-1,-1
