Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
7267,3,0,2,1,0,1,-2
6135,7,2,1,3,1,2,1
2634,4,0,1,1,2,-1,-1
865,3,0,1,1,1,0,-1
4688,3,0,1,0,2,-2,-1
1114,1,1,0,0,0,0,1
1310,5,1,1,1,2,-1,0
6987,3,0,1,2,0,2,-1
7013,5,2,0,2,1,1,2
4976,4,1,0,1,2,-1,1
4039,2,1,0,0,1,-1,1
4917,4,1,1,1,1,0,0
6110,3,1,0,1,1,0,1
4992,5,0,2,1,2,-1,-2
4308,3,0,1,1,1,0,-1
6854,2,0,1,1,0,1,-1
4069,4,0,1,2,1,1,-1
4525,2,0,1,0,1,-1,-1
4939,5,1,1,1,2,-1,0
1241,1,0,0,0,1,-1,0
6070,2,0,1,0,1,-1,-1
5596,2,0,0,0,2,-2,0
7058,1,0,1,0,0,0,-1
7200,2,1,0,0,1,-1,1
1360,1,1,0,0,0,0,1
6632,3,0,2,1,0,1,-2
2708,5,1,1,0,3,-3,0
5885,2,0,1,0,1,-1,-1
1246,1,0,0,0,1,-1,0
6009,3,1,0,0,2,-2,1
3739,1,0,0,0,1,-1,0
5039,1,0,1,0,0,0,-1
6878,1,0,1,0,0,0,-1
4968,2,1,0,0,1,-1,1
4946,4,0,1,2,1,1,-1
746,5,1,1,1,2,-1,0
9987,2,1,0,0,1,-1,1
4015,2,0,1,1,0,1,-1
4951,1,0,0,0,1,-1,0
5921,2,0,1,0,1,-1,-1
6140,2,0,1,0,1,-1,-1
2935,1,0,1,0,0,0,-1
4914,3,0,1,0,2,-2,-1
5428,3,0,0,1,2,-1,0
4152,4,0,1,0,3,-3,-1
6975,3,1,1,1,0,1,0
3571,1,0,0,1,0,1,0
5031,2,0,0,2,0,2,0
5719,1,0,1,0,0,0,-1
9986,1,0,1,0,0,0,-1
5036,3,1,0,0,2,-2,1
2013,2,0,1,1,0,1,-1
1305,2,1,0,0,1,-1,1
2994,2,1,0,0,1,-1,1
6865,1,0,0,1,0,1,0
6859,3,0,1,2,0,2,-1
7176,2,0,1,1,0,1,-1
4783,2,0,1,0,1,-1,-1
1075,3,0,1,1,1,0,-1
5834,4,0,1,0,3,-3,-1
4519,2,0,1,0,1,-1,-1
6864,3,0,1,1,1,0,-1
6514,3,1,0,1,1,0,1
2706,2,0,1,1,0,1,-1
7052,3,1,0,1,1,0,1
5672,2,0,0,0,2,-2,0
4476,2,1,0,0,1,-1,1
4343,4,2,0,0,2,-2,2
6978,3,1,0,0,2,-2,1
4678,2,1,0,1,0,1,1
7329,2,1,0,1,0,1,1
919,2,0,1,1,0,1,-1
1325,2,0,1,0,1,-1,-1
188,2,0,0,0,2,-2,0
6141,2,0,1,0,1,-1,-1
6513,2,0,1,0,1,-1,-1
6564,2,0,1,0,1,-1,-1
6397,1,0,0,0,1,-1,0
907,2,1,0,1,0,1,1
6867,2,0,1,1,0,1,-1
5699,2,0,1,1,0,1,-1
5519,1,0,1,0,0,0,-1
4001,1,0,0,0,1,-1,0
854,2,0,0,1,1,0,0
4618,1,1,0,0,0,0,1
5776,1,0,0,1,0,1,0
