Team,Title,Published At,Subscriber Count,View Count,Video Count
11,Mount Olive Robotics Team,2010-01-27T02:56:47Z,405,84180,178
16,Team 323: Lights Out,2008-02-05T00:19:42Z,341,175006,64
20,FRC Team 20 The Rocketeers,2013-01-13T02:57:40Z,230,52308,51
25,Raider Robotix - FRC Team 25,2011-11-09T23:43:08Z,134,46874,285
27,Team Rush 27,2012-03-29T19:45:46Z,388,86655,40
33,Killer Bees Robotics,2011-03-03T03:14:11Z,627,174117,36
48,CurseofDragon33,2007-03-26T23:25:30Z,10,0,0
48,Travis Hoffman,2006-06-27T00:12:09Z,122,113130,551
67,FRCHOTTeam67,2009-03-22T16:21:01Z,175,52570,219
68,Truck Town Thunder,2012-02-05T02:15:16Z,184,47517,129
69,TeamHyperOnline,2010-01-20T18:54:46Z,32,2355,18
100,Team 100 Wildhats,2012-01-09T00:34:32Z,104,18633,57
103,Cybersonics103,2010-01-29T22:10:26Z,130,27063,79
111,First Robotics Competition Team 111 - WildStang,2011-03-13T17:18:37Z,327,94221,210
118,Robonauts118,2010-04-08T05:40:34Z,185,33063,1011
125,NUTRONS,2012-01-22T16:27:37Z,571,167100,58
133,BERT #133,2010-01-15T01:01:53Z,81,25669,122
135,Penn Robotics,2012-10-04T22:39:55Z,164,37365,70
148,Robowranglers,2009-02-14T22:43:54Z,4330,1505359,66
151,ToughTechs151,2009-01-17T00:30:14Z,2,54,5
166,ChopShop 166,2010-01-24T02:04:31Z,87,9154,71
178,team178,2008-11-29T19:12:15Z,112,13658,56
179,Children of the Swamp,2014-01-05T01:26:12Z,134,28584,10
192,Gunn Robotics,2010-10-04T01:41:17Z,62,13467,55
195,FIRST Team 195: The CyberKnights,2013-01-17T03:00:31Z,1030,299367,137
217,217ThunderChickens,2011-01-30T19:02:18Z,92,21207,9
226,"FRC Team 226 Hammerheads, Troy, Michigan",2014-06-26T23:11:44Z,223,78399,311
230,Gaelhawks,2013-01-06T16:21:45Z,210,44784,104
233,The Pink Team 233,2008-09-29T01:55:21Z,183,57433,38
245,AdamBots Team 245,2012-03-07T21:24:10Z,134,19669,145
254,Team 254: The Cheesy Poofs,2008-04-15T00:35:08Z,5630,1068709,249
291,Team291CIA,2007-06-22T23:06:47Z,26,8699,16
313,FRC Team 313,2013-03-12T22:37:39Z,15,548,9
316,mmarandola3,2009-04-20T22:32:34Z,163,116393,82
334,TechKnights334,2010-09-21T01:56:33Z,130,20999,27
340,TeamGRR340,2010-02-13T14:53:38Z,44,9974,24
346,Team 346 RoboHawks,2012-04-21T20:51:25Z,56,5620,21
353,First Team 353 POBots,2011-02-14T00:36:41Z,49,4067,38
365,MOE365,2010-03-18T13:47:36Z,86,29157,82
449,FRC Team 449: The Blair Robot Project,2010-02-08T20:35:30Z,61,11019,137
484,Team 484 Robotics,2011-12-08T23:40:55Z,29,2276,16
492,TRC492,2008-06-28T06:39:38Z,47,13123,151
509,Red Storm 509,2011-11-02T01:37:41Z,23,2016,29
527,Plainedge Red Dragons,2011-04-14T03:30:19Z,40,3916,19
548,Robostangs 548,2012-12-13T01:22:09Z,125,40131,64
573,Mech Warriors,2008-02-17T20:07:16Z,87,49636,155
578,Team 578,2006-11-11T04:34:05Z,62,1110,5
604,Leland Robotics,2007-10-19T00:18:40Z,186,80437,401
